id,name_en,中文译名,sincePhase,producedAt,建筑名,producedPerHourRaw,producedFrom,transportation,unitsSoldAnHour,consumption,isExchangeTradable,isResearch,hasEconomyModel,decay,productionSeason,retailSeason,productionMechanic,econ1_buildingLevelsNeededPerUnitPerHour,econ1_modeledProductionCostPerUnit,econ1_modeledStoreWages,econ1_modeledUnitsSoldAnHour
48,Electric Motor,电动机,6,D,propulsion_factory,110,"{""21"": 3, ""43"": 2}",2,0,0,True,False,False,0,,,{},0.30517556532849976,122.88732430327396,,0
49,Luxury Car Interior,豪华车内饰,6,1,car_factory,50,"{""18"": 2, ""23"": 6, ""46"": 5}",2,0,0,True,False,False,0,,,{},1.620053937111845,506.084641749638,,0
50,Car Interior,汽车内饰,6,1,car_factory,80,"{""19"": 2, ""23"": 2, ""41"": 5}",2,0,0,True,False,False,0,,,{},0.48687874681198523,168.16425278196093,,0
51,Car Body,车身,6,1,car_factory,60,"{""18"": 30, ""43"": 5, ""45"": 5}",2,0,0,True,False,False,0,,,{},1.1640925592728224,430.7417714245457,,0
52,Combustion Engine,内燃机,6,D,propulsion_factory,20,"{""17"": 5, ""21"": 5, ""43"": 6}",2,0,0,True,False,False,0,,,{},0.7933925097425543,339.47164501709165,,0
53,Economy E Car,经济型电动车,6,1,car_factory,50,"{""22"": 15, ""47"": 1, ""48"": 2, ""50"": 1, ""51"": 1}",5,2,0.1367,True,False,True,0,,,{},4.897457779940566,1817.5537839187427,417.45000000000005,2
54,Luxury E Car,豪华电动车,6,1,car_factory,10,"{""22"": 30, ""47"": 2, ""48"": 4, ""49"": 1, ""51"": 1}",5,0.5,0.071,True,False,True,0,,,{},9.427646261288189,3441.633210109271,417.45000000000005,0.5
55,Economy Car,经济型汽车,6,1,car_factory,35,"{""47"": 1, ""50"": 1, ""51"": 1, ""52"": 1}",5,2,0.211,True,False,True,0,,,{},3.172768281418329,1219.8990021740833,417.45000000000005,2
56,Luxury Car,豪华汽车,6,1,car_factory,5,"{""47"": 2, ""49"": 1, ""51"": 1, ""52"": 2}",5,0.5,0.1082,True,False,True,0,,,{},6.186137630842201,2339.553506039372,417.45000000000005,0.5
57,Truck,卡车,6,1,car_factory,12,"{""43"": 10, ""47"": 1, ""50"": 1, ""51"": 1, ""52"": 6}",5,1,0.0898,True,False,True,0,,,{},7.460707968859187,3045.215378262768,417.45000000000005,1
58,Automotive Research,汽车研究,6,a,race_track,13,{},0,0,0,True,True,False,0,,,{},0.23861786719825268,131.71706269343548,,0
59,Fashion Research,时尚研究,1,f,fashion_research,17,{},0,0,0,True,True,False,0,,,{},0.14757531097255566,66.1875269711912,,0
60,Underwear,内衣,1,T,clothes_factory,220,"{""41"": 1}",1,25,10.399,True,False,True,0,,,{},0.022069348330737128,3.136225735914774,341.55,25
61,Gloves,手套,1,T,clothes_factory,190,"{""41"": 0.5, ""46"": 0.5}",1,20,3.7328,True,False,True,0,,,{},0.06148171668974752,9.394549459952708,341.55,20
62,Dress,连衣裙,1,T,clothes_factory,200,"{""19"": 0.5, ""41"": 3}",1,45,3.721,True,False,True,0,,,{},0.0616774897944069,11.127709656118052,341.55,45
63,Simmi Shoes,Simmi 鞋,1,T,clothes_factory,130,"{""19"": 0.2, ""46"": 1}",1,30,2.1664,True,False,True,0,,,{},0.10593777598939177,17.286602160066415,341.55,30
64,Handbags,手提包,1,T,clothes_factory,90,"{""46"": 1.5}",1,20,1.4885,True,False,True,0,,,{},0.15418093353842224,23.87120299919537,341.55,20
65,Sneakers,运动鞋,1,T,clothes_factory,230,"{""19"": 1}",1,30,11.6901,True,False,True,0,,,{},0.019632049806918853,7.3977210046962965,341.55,30
66,Seeds,种子,0,P,farm,1100,"{""2"": 0.1}",0.1,0,0,True,False,False,0,,,{},0.001193339667654275,0.140778358888291,,0
67,Xmas Crackers,圣诞拉炮,3,Y,factory,520,"{""17"": 0.5, ""19"": 0.1}",0.5,400,14.1104,True,False,True,0,,Xmas,{},0.01700874955079077,6.484413034180247,265.65,400
68,Gold Ore,金矿石,4,M,mine,100,"{""1"": 80, ""2"": 2}",10,0,0,True,False,False,0,,,{},0.05148923616393041,18.618214607918375,,0
69,Golden Bars,金条,4,Y,factory,70,"{""1"": 40, ""68"": 200}",1000,0,0,True,False,False,0,,,{},10.346821519077272,3743.918276108228,,0
70,Gold Watch,金表,4,T,clothes_factory,25,"{""21"": 2, ""45"": 0.5, ""69"": 0.1}",1,3,0.1829,True,False,True,0,,,{},1.254733304893077,445.2390620197452,341.55,3
71,Necklace,项链,4,T,clothes_factory,55,"{""69"": 0.25}",1,2,0.0879,True,False,True,0,,,{},2.6108349112010596,939.3094443646374,341.55,2
72,Sugarcane,甘蔗,2,P,farm,800,"{""2"": 3, ""66"": 1}",0.1,0,0,True,False,False,0,,,{},0.004817200713909978,1.033879075757962,,0
73,Ethanol,乙醇,2,6,beverage_factory,100,"{""1"": 20, ""72"": 10}",1,0,0,True,False,False,0,,,{},0.07237286758847418,17.527308799208352,,0
74,Methane,甲烷,7,O,oil_rig,160,"{""1"": 20}",1,0,0,True,False,False,0,,,{},0.026805422390552103,13.065399941247822,,0
75,Carbon Fiber,碳纤维,7,R,refinery,660,"{""1"": 0.5, ""10"": 0.1}",0.1,0,0,True,False,False,0,,,{},0.007783784845180185,3.7663921354828185,,0
76,Carbon Composite,碳复合材料,7,Y,factory,160,"{""75"": 8}",1,0,0,True,False,False,0,,,{},0.07687908575171126,36.179183177834226,,0
77,Fuselage,机身,7,7,aerospace_factory,11,"{""76"": 40}",2,0,0,True,False,False,0,,,{},3.377841893964666,1624.6882461884995,,0
78,Wing,机翼,7,7,aerospace_factory,27,"{""18"": 5, ""76"": 30}",2,0,0,True,False,False,0,,,{},2.5853455324409946,1214.3491020673948,,0
79,High Grade E Components,高级电子元件,7,L,electronics_factory,4,"{""16"": 4, ""17"": 3, ""69"": 0.0625}",1,0,0,True,False,False,0,,,{},1.3008169540618206,481.3289314736296,,0
80,Flight Computer,飞行计算机,7,8,aerospace_electronics,10,"{""47"": 2, ""79"": 4}",1,0,0,True,False,False,0,,,{},6.958578989164872,2744.1903150234416,,0
81,Cockpit,驾驶舱,7,8,aerospace_electronics,10,"{""23"": 8, ""50"": 1, ""79"": 4}",1,0,0,True,False,False,0,,,{},7.5224487860599885,2931.119260108793,,0
82,Attitude Control,姿态控制,7,8,aerospace_electronics,12,"{""22"": 5, ""43"": 3, ""48"": 3}",1,0,0,True,False,False,0,,,{},1.981899993722968,889.0032512541426,,0
83,Rocket Fuel,火箭燃料,7,R,refinery,210,"{""1"": 5, ""74"": 1}",1,0,0,True,False,False,0,,,{},0.04157571963897262,20.065052487924447,,0
84,Fuel Tank,燃料罐,7,7,aerospace_factory,15,"{""18"": 50, ""83"": 250}",1,0,0,True,False,False,0,,,{},12.172489232956814,5712.947822616763,,0
85,Solid Rocket,固体火箭,7,D,propulsion_factory,1,"{""17"": 50, ""18"": 30, ""83"": 100}",1,0,0,True,False,False,0,,,{},9.77785120499478,4961.925962896368,,0
86,Rocket Engine,火箭发动机,7,D,propulsion_factory,1,"{""18"": 10, ""43"": 20, ""79"": 8}",1,0,0,True,False,False,0,,,{},14.658606173379441,6315.799406152318,,0
87,Heat Shield,隔热罩,7,7,aerospace_factory,40,"{""16"": 30, ""43"": 20}",1,0,0,True,False,False,0,,,{},0.7724649310347518,308.5540630779644,,0
88,Ion Drive,离子推进器,7,D,propulsion_factory,2,"{""17"": 15, ""22"": 30, ""79"": 8}",1,0,0,True,False,False,0,,,{},16.385615384029467,6481.116871033805,,0
89,Jet Engine,喷气发动机,7,D,propulsion_factory,3,"{""18"": 5, ""79"": 4}",1,0,0,True,False,False,0,,,{},6.550116799348526,2721.6946570060445,,0
90,Sub Orbital Second Stage,亚轨道二级,7,7,aerospace_factory,10,"{""77"": 8, ""80"": 2, ""82"": 2, ""84"": 2, ""88"": 4}",20,0,0,False,False,False,0,,,{},135.12407942981028,57809.529242414545,,0
91,Sub Orbital Rocket2,亚轨道火箭,7,9,vertical_integration_facility,3,"{""85"": 1, ""90"": 1}",20,1,0.0053,False,False,True,0,,,{},146.4827870434139,63971.32521944506,645.15,1
92,Orbital Booster,轨道助推器,7,7,aerospace_factory,5,"{""77"": 40, ""84"": 16, ""86"": 34}",100,0,0,False,False,False,0,,,{},828.9320060013681,371522.42084055237,,0
93,Starship,星舰,7,7,aerospace_factory,1,"{""81"": 2, ""82"": 4, ""84"": 6, ""86"": 7, ""87"": 10}",100,0,0,False,False,False,0,,,{},209.67178857161454,92944.80504460703,,0
94,BFR,BFR,7,9,vertical_integration_facility,1,"{""92"": 1, ""93"": 1}",2000,1,0.0007,False,False,True,0,,,{},1043.3463637988102,468066.8359275615,645.15,1
95,Jumbojet2,巨型客机,7,0,hangar,0.3,"{""50"": 140, ""77"": 40, ""78"": 10, ""81"": 2, ""89"": 4}",2000,1,0.0027,False,False,True,0,,,{},286.1840844922776,129421.73354727181,645.15,1
96,Private Jet,豪华喷气机,7,0,hangar,0.8,"{""69"": 2, ""77"": 14, ""78"": 2, ""81"": 1, ""89"": 2}",1000,1,0.0078,False,False,True,0,,,{},99.70501453558225,45536.191330114205,645.15,1
97,Single Engine,单引擎飞机,7,0,hangar,7,"{""52"": 1, ""77"": 8, ""78"": 2, ""81"": 1}",100,1,0.0188,False,False,True,0,,,{},41.186777401805664,19211.02508482617,645.15,1
98,Quadcopter,四轴无人机,7,8,aerospace_electronics,55,"{""19"": 2, ""21"": 3, ""22"": 1, ""47"": 1}",2,1,0.4781,True,False,True,0,,,{},1.1293732190169494,456.9590044458487,189.75,1
99,Satellite,卫星,7,8,aerospace_electronics,0.5,"{""79"": 8, ""80"": 4, ""82"": 2, ""88"": 1}",10,1,0.0115,False,False,True,0,,,{},67.4274892656665,29489.08364542424,645.15,1
100,Aero Research,航天研究,7,l,launchpad,1,"{""91"": 1, ""94"": 1}",0,0,0,True,True,False,0,,,{},1192.7192877589114,533533.8070013912,,0
101,Reinforced Concrete,钢筋混凝土,0,o,concrete_plant,410,"{""2"": 20, ""43"": 5, ""44"": 20, ""103"": 15}",10,0,0,True,False,False,0,,,{},0.2878856076980508,101.09473647925276,,0
102,Bricks,砖,0,o,concrete_plant,800,"{""104"": 0.5}",1,80,67.4603,True,False,True,0,,,{},0.003415339593778958,1.2512595715460795,189.75,80
103,Cement,水泥,3,o,concrete_plant,650,"{""105"": 3}",1,60,23.6405,True,False,True,0,,,{},0.009745984419983037,3.3592180214001557,189.75,60
104,Clay,黏土,2,Q,quarry,1900,"{""1"": 1}",1,0,0,True,False,False,0,,,{},0.0013863190174904626,0.43638445855156044,,0
105,Limestone,石灰石,3,Q,quarry,1400,"{""1"": 2}",1,0,0,True,False,False,0,,,{},0.002131869643570253,0.6959168410737753,,0
106,Wood,木材,3,P,farm,95,"{""2"": 4, ""66"": 1}",1,0,0,True,False,False,0,,,{},0.016979847263696703,2.4653900265216233,,0
107,Steel Beams,钢梁,4,x,construction_factory,350,"{""1"": 4, ""43"": 1}",5,0,0,True,False,False,0,,,{},0.0276109016962989,10.99514427518313,,0
108,Planks,木板,0,x,construction_factory,310,"{""106"": 0.5}",1,120,13.414,True,False,True,0,,,{},0.017176103717141112,5.428119994457215,189.75,120
109,Windows,窗户,4,x,construction_factory,45,"{""18"": 2, ""45"": 1}",1,30,1.6293,True,False,True,0,,,{},0.1414072759065603,59.345257310556754,189.75,30
110,Tools,工具,4,x,construction_factory,70,"{""21"": 1, ""22"": 1, ""43"": 0.5, ""108"": 0.5}",1,40,0.8744,True,False,True,0,,,{},0.26350740210429063,101.15883912297762,189.75,40
111,Construction Units,建造单位,0,g,general_contractor,2,"{""12"": 5, ""107"": 8, ""109"": 4, ""110"": 4, ""112"": 0.125}",0,0,0,True,False,False,0,,,{},3.525184687829361,1351.3528745519184,,0
112,Bulldozer,推土机,4,1,car_factory,14,"{""43"": 4, ""51"": 1, ""52"": 2}",5,0,0,True,False,False,0,,,{},3.003512791296535,1216.591915995765,,0
113,Materials Research,材料研究,1,c,chemistry_research,8,{},0,0,0,True,True,False,0,,,{},0.2921761398053953,120.96092187943366,,0
114,Robots,机器人,6,L,electronics_factory,5,"{""19"": 10, ""20"": 2, ""48"": 1}",2,0,0,True,False,False,0,,,{},1.2275071140565947,486.57244362623067,,0
115,Cow,奶牛,0,F,ranch,50,"{""2"": 16, ""139"": 12}",1,0,0,True,False,False,0,,,{},0.4782290677152668,79.83152692280328,,0
116,Pig,猪,0,F,ranch,110,"{""2"": 4, ""139"": 4}",1,0,0,True,False,False,0,,,{},0.1617032831221393,26.72865574200417,,0
117,Milk,牛奶,2,F,ranch,160,"{""2"": 2, ""139"": 0.5}",1,0,7.7037,True,False,True,0,,,{},0.028038477701024404,4.644175593378594,645.15,0
118,Coffee Beans,咖啡豆,0,P,farm,510,"{""2"": 0.5, ""66"": 1}",0.1,0,0,True,False,False,0,,,{},0.003964170070253748,0.513897821987704,,0
119,Coffee Ground,咖啡粉,0,i,mill,50,"{""118"": 10}",1,100,1.2308,True,False,True,0,,,{},0.0831965820630771,21.668055696201822,151.8,100
120,Vegetables,蔬菜,0,P,farm,350,"{""2"": 2, ""66"": 5}",0.2,0,0,True,False,False,0,,,{},0.010884986039264744,1.558288637215739,,0
121,Bread,面包,8,j,bakery,30,"{""137"": 1}",1,0,0.6717,True,False,True,0,,,{},0.3215916763639164,111.10484999328038,645.15,0
122,Cheese,奶酪,8,k,food_processing_plant,12,"{""117"": 1}",1,30,0.4887,True,False,True,0,,,{},0.20951715003660626,73.5153317447319,151.8,30
123,Apple Pie,苹果派,8,j,bakery,15,"{""3"": 2, ""135"": 2, ""137"": 1}",2,10,0.2133,True,False,True,0,,,{},0.48007095614232465,171.9774151587316,151.8,10
124,Orange Juice,橙汁,2,6,beverage_factory,150,"{""4"": 5, ""135"": 1}",1,15,1.228,True,False,True,0,,,{},0.08338665867769919,20.09088128559387,151.8,15
125,Apple Cider,苹果酒,2,6,beverage_factory,60,"{""3"": 8}",1,15,1.1,True,False,True,0,,,{},0.09308911316302905,17.69129787320276,151.8,15
126,Ginger Beer,姜汁啤酒,2,6,beverage_factory,120,"{""2"": 1, ""120"": 3, ""135"": 2}",1,10,0.9712,True,False,True,0,,,{},0.10544057868625505,28.81633560579997,151.8,10
127,Pizza,披萨,8,k,food_processing_plant,20,"{""8"": 1, ""120"": 2, ""122"": 1, ""137"": 2}",1,10,0.122,True,False,True,0,,,{},0.8391977205507947,272.1983540854805,151.8,10
128,Pasta,意面,8,k,food_processing_plant,40,"{""9"": 2, ""133"": 2}",1,0,0,True,False,False,0,,,{},0.17030292216285742,42.54766811076815,,0
129,Hamburger,汉堡,8,m,catering,2,"{""7"": 4, ""120"": 3, ""121"": 0.5, ""134"": 1, ""141"": 0.5}",2,0,0.0812,True,False,True,0,,,{},2.661019290483073,1464.6718224271067,645.15,0
130,Lasagna,千层面,8,m,catering,6,"{""7"": 1, ""122"": 0.5, ""128"": 1, ""138"": 1}",2,0,0.0916,True,False,True,0,,,{},2.3570040173857527,1380.694744516906,645.15,0
131,Meatballs,肉丸,8,m,catering,4,"{""8"": 2, ""121"": 1, ""138"": 1, ""141"": 0.5}",2,0,0.0789,True,False,True,0,,,{},2.7388443758727177,1623.0358321055742,645.15,0
132,Cocktails,鸡尾酒,8,m,catering,2,"{""119"": 8, ""124"": 1, ""125"": 1, ""126"": 2}",2,0,0.0727,True,False,True,0,,,{},2.9707149489812257,1525.8676015591511,645.15,0
133,Flour,面粉,8,i,mill,190,"{""6"": 15}",0.1,0,0,True,False,False,0,,,{},0.05310464313822265,10.21388366463396,,0
134,Butter,黄油,8,k,food_processing_plant,30,"{""117"": 0.5}",1,0,2.4939,True,False,True,0,,,{},0.08661070778474494,29.87055025723062,645.15,0
135,Sugar,糖,2,k,food_processing_plant,90,"{""1"": 0.5, ""72"": 1}",1,0,0,True,False,False,0,,,{},0.029209141118524483,10.297340510524693,,0
136,Cocoa Beans,可可豆,2,P,farm,210,"{""2"": 1, ""66"": 1}",0.1,0,0,True,False,False,0,,,{},0.007774051131741621,0.9945590282820665,,0
137,Dough,面团,8,j,bakery,30,"{""9"": 1, ""133"": 2, ""134"": 0.5}",1,0,0,True,False,False,0,,,{},0.23796566681280146,73.59858470960538,,0
138,Gravy Boat,肉汁船,8,m,catering,3,"{""2"": 0.5, ""120"": 2, ""134"": 0.5}",2,0,0,True,False,False,0,,,{},1.3439452803450094,856.2462448781176,,0
139,Fodder,饲料,0,i,mill,620,"{""6"": 10, ""120"": 0.5}",1,0,0,True,False,False,0,,,{},0.036716871621180695,6.021552060347769,,0
140,Chocolate,巧克力,2,k,food_processing_plant,7,"{""117"": 0.5, ""135"": 1, ""136"": 10}",1,15,0.237,True,False,True,0,,,{},0.4320751867188788,140.6298577066403,151.8,15
141,Vegetable Oil,植物油,8,k,food_processing_plant,80,"{""1"": 1, ""120"": 10}",1,0,0,True,False,False,0,,,{},0.1364612294293919,26.07484102403296,,0
142,Salad,沙拉,8,m,catering,8,"{""120"": 5, ""122"": 2, ""141"": 0.5}",2,0,0.2115,True,False,True,0,,,{},1.0211361858000747,482.13660359234376,645.15,0
143,Samosas,萨莫萨,8,m,catering,7,"{""120"": 5, ""133"": 4, ""141"": 1}",2,0,0.2271,True,False,True,0,,,{},0.951243407396712,433.89562047411584,645.15,0
144,Xmas Ornament,圣诞装饰,3,Y,factory,420,"{""14"": 0.25, ""18"": 0.125, ""45"": 0.5}",0.5,70,10.2193,True,False,True,0,,Xmas,{},0.023485004300521344,9.10169862822773,265.65,70
145,Recipes,食谱研究,1,q,kitchen,11,{},0,0,0,True,True,False,0,,,{},0.2627397196987319,135.96780494409376,,0
146,Pumpkin,南瓜,1,P,farm,170,"{""2"": 8, ""66"": 2}",1,50,10.5249,True,False,True,0,AutumnHarvest,,{},0.015202095790618575,2.989368583787052,227.7,50
147,Jack O Lantern,南瓜灯,3,L,electronics_factory,620,"{""21"": 0.5, ""146"": 1}",1,40,2.7566,True,False,True,0,,Halloween,{},0.05804296445981941,19.229819239298102,227.7,40
148,Witch Costume,女巫服,1,T,clothes_factory,160,"{""19"": 1, ""41"": 4}",1,12,1.8539,True,False,True,0,,Halloween,{},0.08630433278541373,16.96111872082079,227.7,12
149,Pumpkin Soup,南瓜汤,8,m,catering,8,"{""121"": 0.5, ""134"": 2, ""146"": 10}",2,0,0.2237,True,False,True,0,,,{},0.9654845524734763,459.46428775375654,645.15,0
150,Tree,圣诞树,1,v,forest_nursery,11.7672277,"{""2"": 12}",1,10,0.2237,True,False,True,0,,Xmas,"{""type"": ""accumulator"", ""accumulatorParameters"": {""baseValue"": 10, ""max"": 81910, ""amountPerLevel"": 1, ""bonusPerQuality"": 4}}",,,,
151,Easter Bunny,复活节兔,4,k,food_processing_plant,8,"{""18"": 0.0625, ""117"": 0.25, ""135"": 0.25, ""136"": 8}",1,30,0.5817,True,False,True,0,,Easter,{},0.3506680661576384,115.70671384590469,265.65,30
152,Ramadan Sweets,斋月甜点,4,k,food_processing_plant,11,"{""117"": 0.5, ""133"": 2, ""134"": 1, ""135"": 0.25}",1,40,0.2485,True,False,True,0,,Ramadan,{},0.41211825164833177,130.32691085774997,151.8,40
153,Icecream Chocolate,巧克力冰淇淋,8,k,food_processing_plant,70,"{""117"": 2, ""135"": 0.5, ""140"": 0.0625}",1,22,3.1678,True,False,True,0.05,,Summer,{},0.1287968546744835,35.03287146034512,265.65,22
154,Icecream Apple,苹果冰淇淋,8,k,food_processing_plant,70,"{""3"": 4, ""117"": 2, ""135"": 0.5}",1,18,3.0298,True,False,True,0.05,,Summer,{},0.1346621314850427,31.786743075133828,265.65,18
155,Cream Egg,奶油蛋,8,k,food_processing_plant,25,"{""134"": 0.5, ""135"": 0.75, ""140"": 0.1}",1,70,1.0433,True,False,True,0,,Easter,{},0.1955294911242329,69.77942123482245,265.65,70
